"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/bin/mongod"
2024-12-17 13:01:15,0 B,0 B,0 B,0 B
2024-12-17 13:01:30,0 B,0 B,0 B,0 B
2024-12-17 13:01:45,0 B,0 B,0 B,516 kB
2024-12-17 13:02:00,0 B,0 B,0 B,0 B
2024-12-17 13:02:15,0 B,20.5 kB,0 B,0 B
2024-12-17 13:02:30,0 B,0 B,0 B,0 B
2024-12-17 13:02:45,0 B,0 B,0 B,0 B
2024-12-17 13:03:00,0 B,0 B,0 B,0 B
2024-12-17 13:03:15,0 B,0 B,0 B,0 B
2024-12-17 13:03:30,0 B,0 B,0 B,0 B
2024-12-17 13:03:45,0 B,0 B,0 B,0 B
2024-12-17 13:04:00,0 B,0 B,0 B,0 B
2024-12-17 13:04:15,0 B,0 B,0 B,0 B
2024-12-17 13:04:30,0 B,0 B,0 B,0 B
2024-12-17 13:04:45,0 B,0 B,0 B,0 B
2024-12-17 13:05:00,0 B,0 B,0 B,0 B
2024-12-17 13:05:15,0 B,4.10 kB,0 B,0 B
2024-12-17 13:05:30,0 B,57.3 kB,0 B,0 B
2024-12-17 13:05:45,0 B,16.4 kB,0 B,0 B
2024-12-17 13:06:00,0 B,4.10 kB,0 B,0 B
2024-12-17 13:06:15,0 B,4.10 kB,0 B,0 B
2024-12-17 13:06:30,0 B,0 B,0 B,0 B
2024-12-17 13:06:45,0 B,0 B,0 B,0 B
2024-12-17 13:07:00,0 B,0 B,0 B,0 B
2024-12-17 13:07:15,0 B,0 B,0 B,0 B
2024-12-17 13:07:30,0 B,0 B,0 B,0 B
2024-12-17 13:07:45,0 B,0 B,0 B,0 B
2024-12-17 13:08:00,0 B,20.5 kB,0 B,0 B
2024-12-17 13:08:15,0 B,4.10 kB,0 B,0 B
2024-12-17 13:08:30,0 B,0 B,0 B,0 B
2024-12-17 13:08:45,0 B,4.10 kB,0 B,0 B
2024-12-17 13:09:00,0 B,0 B,0 B,0 B
2024-12-17 13:09:15,0 B,0 B,0 B,0 B
2024-12-17 13:09:30,0 B,0 B,0 B,0 B
2024-12-17 13:09:45,0 B,0 B,0 B,0 B
2024-12-17 13:10:00,0 B,0 B,0 B,0 B
2024-12-17 13:10:15,0 B,0 B,0 B,0 B
2024-12-17 13:10:30,0 B,0 B,0 B,0 B
2024-12-17 13:10:45,0 B,0 B,0 B,0 B
2024-12-17 13:11:00,0 B,0 B,0 B,0 B
2024-12-17 13:11:15,0 B,0 B,0 B,0 B
2024-12-17 13:11:30,0 B,0 B,0 B,0 B
2024-12-17 13:11:45,0 B,0 B,0 B,0 B
2024-12-17 13:12:00,0 B,0 B,0 B,0 B
2024-12-17 13:12:15,0 B,0 B,0 B,0 B
2024-12-17 13:12:30,0 B,0 B,0 B,0 B
2024-12-17 13:12:45,0 B,0 B,0 B,0 B
2024-12-17 13:13:00,0 B,0 B,0 B,0 B
2024-12-17 13:13:15,0 B,0 B,0 B,0 B
2024-12-17 13:13:30,0 B,0 B,0 B,0 B
2024-12-17 13:13:45,0 B,0 B,0 B,0 B
2024-12-17 13:14:00,0 B,0 B,0 B,0 B
2024-12-17 13:14:15,0 B,12.3 kB,0 B,0 B
2024-12-17 13:14:30,0 B,8.19 kB,0 B,0 B
2024-12-17 13:14:45,0 B,4.10 kB,0 B,0 B
2024-12-17 13:15:00,0 B,0 B,0 B,0 B
2024-12-17 13:15:15,0 B,0 B,0 B,0 B
2024-12-17 13:15:30,0 B,0 B,0 B,0 B
2024-12-17 13:15:45,0 B,0 B,0 B,0 B
2024-12-17 13:16:00,0 B,4.10 kB,0 B,0 B
2024-12-17 13:16:15,0 B,4.10 kB,0 B,0 B
2024-12-17 13:16:30,0 B,20.5 kB,0 B,0 B
2024-12-17 13:16:45,0 B,8.19 kB,0 B,0 B
2024-12-17 13:17:00,0 B,4.10 kB,0 B,0 B
2024-12-17 13:17:15,0 B,8.19 kB,0 B,0 B
2024-12-17 13:17:30,0 B,8.19 kB,0 B,0 B
2024-12-17 13:17:45,0 B,0 B,0 B,0 B
2024-12-17 13:18:00,0 B,0 B,0 B,0 B
2024-12-17 13:18:15,0 B,0 B,0 B,0 B
2024-12-17 13:18:30,0 B,0 B,0 B,0 B
2024-12-17 13:18:45,0 B,0 B,0 B,0 B
2024-12-17 13:19:00,0 B,0 B,0 B,0 B
2024-12-17 13:19:15,0 B,0 B,0 B,0 B
2024-12-17 13:19:30,0 B,0 B,0 B,0 B
2024-12-17 13:19:45,0 B,0 B,0 B,0 B
2024-12-17 13:20:00,0 B,0 B,0 B,0 B
2024-12-17 13:20:15,0 B,0 B,0 B,0 B
2024-12-17 13:20:30,0 B,0 B,0 B,0 B
2024-12-17 13:20:45,0 B,0 B,0 B,0 B
2024-12-17 13:21:00,0 B,0 B,0 B,0 B
2024-12-17 13:21:15,0 B,0 B,0 B,0 B
2024-12-17 13:21:30,0 B,0 B,0 B,0 B
2024-12-17 13:21:45,0 B,12.3 kB,0 B,0 B
2024-12-17 13:22:00,0 B,8.19 kB,0 B,0 B
2024-12-17 13:22:15,0 B,12.3 kB,0 B,0 B
2024-12-17 13:22:30,0 B,0 B,0 B,0 B
2024-12-17 13:22:45,0 B,8.19 kB,0 B,0 B
2024-12-17 13:23:00,0 B,4.10 kB,0 B,0 B
