"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/bin/mongod"
2024-12-19 19:15:30,0 B,0 B,0 B,0 B
2024-12-19 19:15:45,0 B,0 B,0 B,0 B
2024-12-19 19:16:00,0 B,0 B,0 B,0 B
2024-12-19 19:16:15,0 B,0 B,0 B,0 B
2024-12-19 19:16:30,0 B,0 B,0 B,0 B
2024-12-19 19:16:45,0 B,0 B,0 B,0 B
2024-12-19 19:17:00,0 B,0 B,0 B,0 B
2024-12-19 19:17:15,0 B,0 B,0 B,0 B
2024-12-19 19:17:30,0 B,0 B,0 B,0 B
2024-12-19 19:17:45,0 B,20.5 kB,0 B,0 B
2024-12-19 19:18:00,0 B,0 B,0 B,0 B
2024-12-19 19:18:15,0 B,0 B,0 B,0 B
2024-12-19 19:18:30,0 B,4.10 kB,0 B,0 B
2024-12-19 19:18:45,0 B,0 B,0 B,0 B
2024-12-19 19:19:00,0 B,0 B,0 B,0 B
2024-12-19 19:19:15,0 B,0 B,0 B,0 B
2024-12-19 19:19:30,0 B,4.10 kB,0 B,0 B
2024-12-19 19:19:45,0 B,0 B,0 B,0 B
2024-12-19 19:20:00,0 B,0 B,0 B,0 B
2024-12-19 19:20:15,0 B,0 B,0 B,0 B
2024-12-19 19:20:30,0 B,0 B,0 B,0 B
2024-12-19 19:20:45,0 B,0 B,0 B,0 B
2024-12-19 19:21:00,0 B,0 B,0 B,0 B
2024-12-19 19:21:15,0 B,0 B,0 B,0 B
2024-12-19 19:21:30,0 B,0 B,0 B,0 B
2024-12-19 19:21:45,0 B,0 B,0 B,0 B
2024-12-19 19:22:00,0 B,0 B,0 B,0 B
2024-12-19 19:22:15,0 B,0 B,0 B,0 B
2024-12-19 19:22:30,0 B,0 B,0 B,0 B
2024-12-19 19:22:45,0 B,0 B,0 B,0 B
2024-12-19 19:23:00,0 B,0 B,0 B,0 B
2024-12-19 19:23:15,0 B,0 B,0 B,0 B
2024-12-19 19:23:30,0 B,0 B,0 B,0 B
2024-12-19 19:23:45,0 B,0 B,0 B,0 B
2024-12-19 19:24:00,0 B,0 B,0 B,0 B
2024-12-19 19:24:15,0 B,0 B,0 B,0 B
2024-12-19 19:24:30,0 B,0 B,0 B,0 B
2024-12-19 19:24:45,0 B,0 B,0 B,0 B
2024-12-19 19:25:00,0 B,0 B,0 B,0 B
2024-12-19 19:25:15,0 B,0 B,0 B,0 B
2024-12-19 19:25:30,0 B,0 B,0 B,0 B
2024-12-19 19:25:45,0 B,0 B,0 B,0 B
2024-12-19 19:26:00,0 B,12.3 kB,0 B,0 B
2024-12-19 19:26:15,0 B,12.3 kB,0 B,0 B
2024-12-19 19:26:30,0 B,12.3 kB,0 B,0 B
2024-12-19 19:26:45,0 B,8.19 kB,0 B,0 B
2024-12-19 19:27:00,0 B,0 B,0 B,0 B
2024-12-19 19:27:15,0 B,4.10 kB,0 B,0 B
2024-12-19 19:27:30,0 B,0 B,0 B,0 B
2024-12-19 19:27:45,0 B,0 B,0 B,0 B
2024-12-19 19:28:00,0 B,0 B,0 B,0 B
2024-12-19 19:28:15,0 B,0 B,0 B,0 B
2024-12-19 19:28:30,0 B,0 B,0 B,0 B
2024-12-19 19:28:45,0 B,0 B,0 B,0 B
2024-12-19 19:29:00,0 B,0 B,0 B,0 B
2024-12-19 19:29:15,0 B,0 B,0 B,0 B
2024-12-19 19:29:30,0 B,0 B,0 B,0 B
2024-12-19 19:29:45,0 B,0 B,0 B,0 B
2024-12-19 19:30:00,0 B,0 B,0 B,0 B
2024-12-19 19:30:15,0 B,0 B,0 B,0 B
2024-12-19 19:30:30,0 B,0 B,0 B,0 B
2024-12-19 19:30:45,0 B,0 B,0 B,0 B
2024-12-19 19:31:00,0 B,0 B,0 B,0 B
2024-12-19 19:31:15,0 B,0 B,0 B,0 B
2024-12-19 19:31:30,0 B,0 B,0 B,0 B
2024-12-19 19:31:45,0 B,20.5 kB,0 B,0 B
2024-12-19 19:32:00,0 B,0 B,0 B,0 B
2024-12-19 19:32:15,0 B,8.19 kB,0 B,0 B
2024-12-19 19:32:30,0 B,20.5 kB,0 B,0 B
2024-12-19 19:32:45,0 B,0 B,0 B,0 B
2024-12-19 19:33:00,0 B,8.19 kB,0 B,0 B
2024-12-19 19:33:15,0 B,4.10 kB,0 B,0 B
2024-12-19 19:33:30,0 B,4.10 kB,0 B,0 B
2024-12-19 19:33:45,0 B,0 B,0 B,0 B
2024-12-19 19:34:00,0 B,0 B,0 B,0 B
2024-12-19 19:34:15,0 B,0 B,0 B,0 B
2024-12-19 19:34:30,0 B,0 B,0 B,0 B
2024-12-19 19:34:45,0 B,0 B,0 B,0 B
2024-12-19 19:35:00,0 B,0 B,0 B,0 B
2024-12-19 19:35:15,0 B,4.10 kB,0 B,0 B
2024-12-19 19:35:30,0 B,8.19 kB,0 B,0 B
2024-12-19 19:35:45,0 B,8.19 kB,0 B,0 B
2024-12-19 19:36:00,0 B,0 B,0 B,0 B
2024-12-19 19:36:15,0 B,0 B,0 B,0 B
2024-12-19 19:36:30,0 B,0 B,0 B,0 B
2024-12-19 19:36:45,0 B,4.10 kB,0 B,0 B
2024-12-19 19:37:00,0 B,0 B,0 B,0 B
2024-12-19 19:37:15,0 B,0 B,0 B,0 B
2024-12-19 19:37:30,0 B,0 B,0 B,0 B
2024-12-19 19:37:45,0 B,4.10 kB,0 B,0 B
2024-12-19 19:38:00,0 B,8.19 kB,0 B,0 B
2024-12-19 19:38:15,0 B,8.19 kB,0 B,0 B
2024-12-19 19:38:30,0 B,8.19 kB,0 B,0 B
2024-12-19 19:38:45,0 B,4.10 kB,0 B,0 B
2024-12-19 19:39:00,0 B,0 B,0 B,0 B
2024-12-19 19:39:15,0 B,0 B,0 B,0 B
2024-12-19 19:39:30,0 B,0 B,0 B,0 B
2024-12-19 19:39:45,0 B,0 B,0 B,0 B
2024-12-19 19:40:00,0 B,0 B,0 B,0 B
2024-12-19 19:40:15,0 B,0 B,0 B,0 B
2024-12-19 19:40:30,0 B,0 B,0 B,0 B
2024-12-19 19:40:45,0 B,0 B,0 B,0 B
2024-12-19 19:41:00,0 B,0 B,0 B,0 B
2024-12-19 19:41:15,0 B,0 B,0 B,0 B
2024-12-19 19:41:30,0 B,0 B,0 B,0 B
2024-12-19 19:41:45,0 B,0 B,0 B,0 B
2024-12-19 19:42:00,0 B,0 B,0 B,0 B
2024-12-19 19:42:15,0 B,0 B,0 B,0 B
2024-12-19 19:42:30,0 B,0 B,0 B,0 B
2024-12-19 19:42:45,0 B,0 B,0 B,0 B
2024-12-19 19:43:00,0 B,0 B,0 B,0 B
2024-12-19 19:43:15,0 B,0 B,0 B,0 B
2024-12-19 19:43:30,0 B,0 B,0 B,0 B
2024-12-19 19:43:45,0 B,0 B,0 B,0 B
2024-12-19 19:44:00,0 B,0 B,0 B,0 B
2024-12-19 19:44:15,0 B,8.19 kB,0 B,0 B
2024-12-19 19:44:30,0 B,16.4 kB,0 B,0 B
2024-12-19 19:44:45,0 B,12.3 kB,0 B,0 B
2024-12-19 19:45:00,0 B,12.3 kB,0 B,0 B
2024-12-19 19:45:15,0 B,0 B,0 B,0 B
2024-12-19 19:45:30,0 B,0 B,0 B,0 B
